gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000003402,2546.609326389536,1.18344721892704,0.16353912893275732,7.236477451299377,4.604881836149565e-13,5.4708967104964026e-11
ENSG00000004799,914.3705946790476,2.5440508759315317,0.9011756483197709,2.823035532168316,0.0047571299042220485,0.035968434950401425
ENSG00000004846,17.998944879963393,-1.8813023700279985,0.699834581480572,-2.6882100710826693,0.007183618814527394,0.04934216354700558
ENSG00000005471,33.66369964853603,-1.218688191449094,0.43478920381884983,-2.8029403231383982,0.005063903844378301,0.03772321573391036
ENSG00000006788,10.253448470569673,3.1690998279149456,1.0673782372903522,2.969050442662225,0.002987215552627315,0.025095608759868618
ENSG00000008256,3716.5654179048433,1.2046297148658336,0.2042884656033316,5.8967093972151705,3.708220923476185e-9,1.8863781299948604e-7
ENSG00000008311,721.9414187393375,1.1077989498244003,0.1696456978726383,6.530073934772466,6.573723272934444e-11,5.002277440954041e-9
ENSG00000009413,7584.974888437589,1.1200893550302842,0.16835402351048825,6.653178413407529,2.8683013771100422e-11,2.3900348352706527e-9
ENSG00000011198,1159.4029592020354,1.0896393044048889,0.20200326301229843,5.394166847386763,6.88422274785391e-8,2.571459673463078e-6
ENSG00000012048,221.109604822104,-1.209386504488001,0.1738191784570637,-6.957727652514133,3.4580488236009108e-12,3.4796388241895913e-10
ENSG00000013293,244.4940065133603,-2.8369761379883047,0.3597627836656427,-7.88568542049347,3.1281372820275063e-15,4.616609239462099e-13
ENSG00000013297,3431.5445530282323,-1.7160897175230365,0.26308894800913496,-6.522849897379386,6.898389134505995e-11,5.206304750488848e-9
ENSG00000015520,17.512690247343066,-2.560384412310106,0.718642923064365,-3.562804739511484,3.6691359481375594e-4,0.004618396342102061
ENSG00000016391,92.11010483993638,-2.0430538807477436,0.4532625511505378,-4.507440280609468,6.561438992978424e-6,1.4540180391780708e-4
ENSG00000019186,14.087517343491855,-4.429296397434417,1.0362053571714467,-4.2745353194517035,1.9153634209481506e-5,3.75227844646385e-4
ENSG00000020577,3104.999030504834,1.2071155868203782,0.14799695260059076,8.156354341147155,3.4528847328489985e-16,5.94251143508545e-14
ENSG00000021645,35.9586783335188,1.8691723651534455,0.629914982021,2.967340702322161,0.003003878939510884,0.025201107367240516
ENSG00000023909,1927.7038651877408,1.2461882986810164,0.20000562502391336,6.230766252359242,4.641592311471936e-10,2.937282557242464e-8
ENSG00000025423,169.20181646387553,-2.1844508780548106,0.5060736044756009,-4.316468708772834,1.5854514407904783e-5,3.187345882331513e-4
ENSG00000025708,144.69698643722072,1.2746893450617063,0.31229192493864577,4.08172367989386,4.470292599088679e-5,7.722367562121766e-4
